,tweetid,favorite_count,retweet_count,lang,source,followers_count
294,835574547218894849,17826,3627,en,Twitter for iPhone,8784790
295,835536468978302976,0,1702,en,Twitter for iPhone,8784790
296,835309094223372289,0,20974,en,Twitter for iPhone,8784790
297,835297930240217089,16514,3022,en,Twitter for iPhone,8784790
298,835264098648616962,7758,1701,en,Twitter for iPhone,8784790
299,835246439529840640,2108,73,en,Twitter for iPhone,8784790
300,835172783151792128,26235,5779,en,Twitter for iPhone,8784790
301,835152434251116546,22450,3024,en,Twitter for iPhone,8784790
302,834931633769889797,10835,1649,en,Twitter for iPhone,8784790
303,834786237630337024,21413,5514,en,Twitter for iPhone,8784790
304,834574053763584002,13702,2547,en,Twitter for iPhone,8784790
305,834477809192075265,0,10680,en,Twitter for iPhone,8784790
306,834458053273591808,9645,1690,en,Twitter for iPhone,8784790
307,834209720923721728,20673,4768,en,Twitter for iPhone,8784790
308,834167344700198914,15876,3671,en,Twitter for iPhone,8784790
309,834089966724603904,10082,2147,en,Twitter for iPhone,8784790
310,834086379323871233,13122,2217,en,Twitter for iPhone,8784790
311,833863086058651648,13473,2418,en,Twitter for iPhone,8784790
312,833826103416520705,18108,3790,en,Twitter for iPhone,8784790
313,833732339549220864,0,222,en,Twitter for iPhone,8784790
314,833722901757046785,20880,3232,en,Twitter for iPhone,8784790
315,833479644947025920,14890,2058,en,Twitter for iPhone,8784790
316,833124694597443584,20280,4862,en,Twitter for iPhone,8784790
317,832998151111966721,13316,2214,en,Twitter for iPhone,8784790
318,832769181346996225,0,39,en,Twitter for iPhone,8784790
319,832757312314028032,16931,3645,en,Twitter for iPhone,8784790
320,832682457690300417,11934,2933,en,Twitter for iPhone,8784790
321,832645525019123713,2942,532,en,Twitter Web Client,8784790
322,832636094638288896,15918,2803,en,Twitter for iPhone,8784790
323,832397543355072512,12010,2230,en,Twitter for iPhone,8784790
324,832369877331693569,17257,3208,en,Twitter for iPhone,8784790
325,832273440279240704,11398,2350,en,Twitter for iPhone,8784790
326,832215909146226688,0,6239,en,Twitter for iPhone,8784790
327,832215726631055365,0,9392,en,Twitter for iPhone,8784790
328,832088576586297345,62,2,en,Twitter for iPhone,8784790
329,832040443403784192,0,9682,en,Twitter for iPhone,8784790
330,832032802820481025,17965,4683,en,Twitter for iPhone,8784790
331,831939777352105988,24123,6169,en,Twitter for iPhone,8784790
332,831926988323639298,338,34,en,Twitter for iPhone,8784790
333,831911600680497154,27772,6545,en,Twitter for iPhone,8784790
334,831670449226514432,10504,1833,en,Twitter for iPhone,8784790
335,831650051525054464,7191,1939,en,Twitter for iPhone,8784790
336,831552930092285952,9019,2326,en,Twitter for iPhone,8784790
337,831322785565769729,9326,1563,en,Twitter for iPhone,8784790
338,831315979191906304,6581,1134,en,Twitter Web Client,8784219
339,831309418084069378,11824,2481,en,Twitter for iPhone,8784790
340,831262627380748289,11979,2064,en,Twitter for iPhone,8784790
341,830956169170665475,8020,1508,en,Twitter for iPhone,8784790
342,830583320585068544,67254,16892,en,Twitter for iPhone,8784790
343,830173239259324417,0,5719,en,Twitter for iPhone,8784790
344,830097400375152640,9865,2972,en,Twitter for iPhone,8784790
345,829878982036299777,0,5056,en,Twitter for iPhone,8784790
346,829861396166877184,12310,1963,en,Twitter for iPhone,8784790
347,829501995190984704,31963,10680,en,Twitter for iPhone,8784790
348,829449946868879360,10531,2041,en,Twitter for iPhone,8784790
349,829141528400556032,24570,7410,en,Twitter for iPhone,8784790
350,829011960981237760,53468,16426,en,Twitter for iPhone,8784790
351,828801551087042563,0,3444,en,Twitter for iPhone,8784790
352,828770345708580865,25746,5918,en,Twitter for iPhone,8784790
353,828708714936930305,36756,11272,en,Twitter for iPhone,8784790
354,828650029636317184,9585,1362,en,Twitter for iPhone,8784790
355,828409743546925057,6396,1173,en,Twitter for iPhone,8784790
356,828408677031882754,7727,1304,en,Twitter for iPhone,8784790
357,828381636999917570,12675,2231,en,Twitter for iPhone,8784790
358,828376505180889089,7435,1082,en,Twitter for iPhone,8784790
359,828372645993398273,12637,2968,en,Twitter for iPhone,8784791
360,828361771580813312,2212,173,en,Twitter Web Client,8784791
361,828046555563323392,11835,2895,en,Twitter for iPhone,8784791
362,828011680017821696,10428,2168,en,Twitter for iPhone,8784791
363,827933404142436356,20269,5294,en,Twitter for iPhone,8784791
364,827653905312006145,15620,3040,en,Twitter for iPhone,8784791
365,827600520311402496,7504,952,en,Twitter for iPhone,8784791
366,827324948884643840,15995,3080,en,Twitter for iPhone,8784791
367,827199976799354881,10672,2241,en,Twitter for iPhone,8784791
368,826958653328592898,21761,5056,en,Twitter for iPhone,8784791
369,826848821049180160,36679,10269,en,Twitter for iPhone,8784791
370,826615380357632002,0,4029,en,Twitter for iPhone,8784220
371,826598799820865537,5153,255,en,Twitter for iPhone,8784791
372,826598365270007810,10136,2369,en,Twitter for iPhone,8784791
373,826476773533745153,18573,4233,en,Twitter for iPhone,8784791
374,826240494070030336,13415,2635,en,Twitter for iPhone,8784791
375,826204788643753985,4922,935,en,Twitter for iPhone,8784791
376,826115272272650244,15805,3172,en,Twitter for iPhone,8784791
377,825876512159186944,10570,1895,en,Twitter for iPhone,8784791
378,825829644528148480,12845,2517,en,Twitter for iPhone,8784791
379,825535076884762624,57337,17715,en,Twitter for iPhone,8784792
380,825147591692263424,18493,4593,en,Twitter for iPhone,8784792
381,825120256414846976,0,1278,en,Twitter for iPhone,8784792
382,825026590719483904,6370,1277,en,Twitter for iPhone,8784792
383,824796380199809024,0,5558,en,Twitter for iPhone,8784792
384,824775126675836928,15078,3562,en,Twitter for iPhone,8784792
385,824663926340194305,10618,1790,en,Twitter for iPhone,8784792
386,824325613288833024,11947,10637,en,Twitter for iPhone,8784792
387,824297048279236611,15223,3917,en,Twitter for iPhone,8784792
388,824025158776213504,4871,604,en,Twitter for iPhone,8784792
389,823939628516474880,10731,2740,en,Twitter for iPhone,8784792
390,823719002937630720,0,11343,en,Twitter for iPhone,8784792
391,823699002998870016,14151,2553,en,Twitter for iPhone,8784792
392,823581115634085888,13162,2658,en,Twitter for iPhone,8784792
393,823333489516937216,706,25,und,Twitter for iPhone,8784792
394,823322678127919110,15891,4083,en,Twitter for iPhone,8784792
395,823269594223824897,0,10019,en,Twitter for iPhone,8784792
396,822975315408461824,17492,3496,en,Twitter for iPhone,8784792
397,822872901745569793,133020,43828,en,Twitter for iPhone,8784792
398,822859134160621569,13423,2311,en,Twitter for iPhone,8784792
399,822647212903690241,0,6492,en,Twitter for iPhone,8784792
400,822610361945911296,14982,2997,en,Twitter for iPhone,8784792
401,822489057087389700,18376,6492,en,Twitter for iPhone,8784792
402,822462944365645825,28382,14512,en,Twitter for iPhone,8784221
